logL at truth: 37502.43357268977
100/15000 | acc 0.370 | e=0.09971 m1=0.6075 m2=0.2117
200/15000 | acc 0.390 | e=0.09969 m1=0.5919 m2=0.2152
300/15000 | acc 0.393 | e=0.10064 m1=0.5844 m2=0.2167
400/15000 | acc 0.400 | e=0.09960 m1=0.5618 m2=0.2267
500/15000 | acc 0.388 | e=0.09964 m1=0.5798 m2=0.2209
600/15000 | acc 0.387 | e=0.09896 m1=0.5672 m2=0.2238
700/15000 | acc 0.391 | e=0.10187 m1=0.5565 m2=0.2268
800/15000 | acc 0.403 | e=0.10006 m1=0.5509 m2=0.2291
900/15000 | acc 0.400 | e=0.10187 m1=0.5574 m2=0.2272
1000/15000 | acc 0.401 | e=0.10153 m1=0.5506 m2=0.2285
1100/15000 | acc 0.403 | e=0.10182 m1=0.5408 m2=0.2328
1200/15000 | acc 0.410 | e=0.10065 m1=0.5497 m2=0.2303
1300/15000 | acc 0.415 | e=0.10042 m1=0.5455 m2=0.2318
1400/15000 | acc 0.413 | e=0.10108 m1=0.5328 m2=0.2368
1500/15000 | acc 0.415 | e=0.10204 m1=0.5552 m2=0.2281
1600/15000 | acc 0.416 | e=0.09908 m1=0.5621 m2=0.2248
1700/15000 | acc 0.421 | e=0.10347 m1=0.5653 m2=0.2251
1800/15000 | acc 0.425 | e=0.10077 m1=0.5752 m2=0.2222
1900/15000 | acc 0.421 | e=0.10205 m1=0.5893 m2=0.2174
2000/15000 | acc 0.419 | e=0.10192 m1=0.5753 m2=0.2215
2100/15000 | acc 0.420 | e=0.10044 m1=0.5824 m2=0.2194
2200/15000 | acc 0.421 | e=0.09986 m1=0.5697 m2=0.2232
2300/15000 | acc 0.417 | e=0.10119 m1=0.5584 m2=0.2269
2400/15000 | acc 0.417 | e=0.09900 m1=0.5753 m2=0.2211
2500/15000 | acc 0.414 | e=0.10054 m1=0.5785 m2=0.2214
2600/15000 | acc 0.412 | e=0.10068 m1=0.5785 m2=0.2218
2700/15000 | acc 0.411 | e=0.10014 m1=0.5859 m2=0.2197
2800/15000 | acc 0.412 | e=0.10113 m1=0.5680 m2=0.2244
2900/15000 | acc 0.413 | e=0.10049 m1=0.5894 m2=0.2174
3000/15000 | acc 0.414 | e=0.09892 m1=0.5912 m2=0.2151
3100/15000 | acc 0.411 | e=0.10183 m1=0.5860 m2=0.2177
3200/15000 | acc 0.411 | e=0.09959 m1=0.5875 m2=0.2171
3300/15000 | acc 0.409 | e=0.09923 m1=0.5995 m2=0.2147
3400/15000 | acc 0.407 | e=0.10151 m1=0.5942 m2=0.2170
3500/15000 | acc 0.406 | e=0.10111 m1=0.5915 m2=0.2163
3600/15000 | acc 0.404 | e=0.09874 m1=0.5754 m2=0.2211
3700/15000 | acc 0.405 | e=0.10107 m1=0.5550 m2=0.2290
3800/15000 | acc 0.406 | e=0.09920 m1=0.5627 m2=0.2267
3900/15000 | acc 0.408 | e=0.09759 m1=0.5621 m2=0.2250
4000/15000 | acc 0.408 | e=0.10055 m1=0.5484 m2=0.2318
4100/15000 | acc 0.411 | e=0.10000 m1=0.5609 m2=0.2261
4200/15000 | acc 0.413 | e=0.10050 m1=0.5528 m2=0.2293
4300/15000 | acc 0.416 | e=0.09856 m1=0.5543 m2=0.2275
4400/15000 | acc 0.416 | e=0.09866 m1=0.5406 m2=0.2334
4500/15000 | acc 0.414 | e=0.10030 m1=0.5426 m2=0.2301
4600/15000 | acc 0.414 | e=0.10024 m1=0.5332 m2=0.2366
4700/15000 | acc 0.414 | e=0.10168 m1=0.5019 m2=0.2494
4800/15000 | acc 0.412 | e=0.09922 m1=0.5082 m2=0.2463
4900/15000 | acc 0.412 | e=0.09980 m1=0.5136 m2=0.2447
5000/15000 | acc 0.412 | e=0.09903 m1=0.5116 m2=0.2432
5100/15000 | acc 0.413 | e=0.10156 m1=0.5202 m2=0.2405
5200/15000 | acc 0.414 | e=0.09972 m1=0.5230 m2=0.2403
5300/15000 | acc 0.412 | e=0.09894 m1=0.5336 m2=0.2353
5400/15000 | acc 0.413 | e=0.10073 m1=0.5285 m2=0.2389
5500/15000 | acc 0.413 | e=0.10163 m1=0.5224 m2=0.2400
